,sound_label,sound_start,sound_end,word,F1_20,F1_35,F1_50,F1_65,F1_80,F2_20,F2_35,F2_50,F2_65,F2_80,participant,duration,changeF2,changeF1,trajectory,gender,changeF1norm,changeF2norm,traj_norm,child
26,price,182.88,183.055,I,906.26,894.64,851.19,818.72,679.02,1401.67,1492.03,1672.72,1843.07,1968.62,Lola,0.175000000000011,566.95,-227.24,610.794826517055,F,-1298.5142857142,3239.71428571408,3490.25615152581,teen
27,face,186.171,186.275,ESTATE,566.33,566.79,533.69,523.87,469.82,2224.84,2284.28,2378.86,2395.41,2475.79,Lola,0.104000000000013,250.95,-96.51,268.868150958792,F,-927.980769230653,2412.98076923047,2585.27068229575,teen
28,price,186.627,186.716,LIKE,831.03,823.39,802.44,767.14,728.89,1543.45,1585,1656.6,1759.78,1856.78,Lola,0.0889999999999986,313.33,-102.14,329.557686149178,F,-1147.64044943822,3520.56179775286,3702.89534999082,teen
29,trap,192.488,192.551,TRASH,793.44,848.29,851.82,849.9,855.53,1582.73,1588.31,1553.39,1537.2,1520.91,Lola,0.0629999999999882,-61.8199999999999,62.0899999999999,87.6178092627291,F,985.555555555738,-981.269841270023,1390.75887718644,teen
30,face,195.525,195.586,THEY,603.56,621.08,628.39,610.15,618.52,2199.42,2269.6,2318.61,2375.03,2407.32,Lola,0.061000000000007,207.9,14.96,208.437548440774,F,245.245901639316,3408.19672131108,3417.00899083197,teen
31,price,196.617,196.744,LIKE,915.33,925.87,903.96,822.31,813.01,1613.09,1687.97,1740.69,1907.37,2010.63,Lola,0.12700000000001,397.54,-102.32,410.496570022211,F,-805.669291338519,3130.23622047219,3232.25645686755,teen
32,goat,197.15597428428,197.27978915823,NO,627.65,578.06,564.92,577.9,566.31,1574.13,1418.49,1346.76,1145.24,1109.91,Lola,0.123814873949982,-464.22,-61.34,468.255062973162,F,-495.417053243375,-3749.30721318291,3781.89669814892,teen
33,goat,198.058583752342,198.137759804887,GO,546.44,590.22,559.99,578.56,583.41,1687.06,1574.46,1506.76,1366.23,1390.74,Lola,0.0791760525450513,-296.32,36.9699999999999,298.617352643814,F,466.934114692873,-3742.5457632078,3771.56151443519,teen
34,price,198.698,198.802,LIKE,848.77,829.32,801.91,784.88,673.7,1678.43,1640.73,1723.65,1781.54,1859.65,Lola,0.103999999999985,181.22,-175.07,251.972604264829,F,-1683.36538461563,1742.50000000025,2422.81350254678,teen
35,price,199.87,200.2,NIGHT,1019.17,1030.13,1006.64,859.19,696.52,1581.56,1549.35,1614.15,1841.92,2171.23,Lola,0.329999999999984,589.67,-322.65,672.170909367551,F,-977.72727272732,1786.87878787887,2036.88154353813,teen
36,price,201.304,201.409,LIGHTS,866.57,879.63,874.12,871.75,783.17,1542.39,1559.58,1700.73,1760.2,1858.99,Lola,0.10499999999999,316.6,-83.4000000000001,327.400549785733,F,-794.285714285791,3015.23809523838,3118.10047415014,teen
37,goat,204.375395772152,204.461491200777,GO,647.96,633.06,641.6,682.77,698.49,1315,1203.36,1114.84,1019.55,1031.68,Lola,0.0860954286246738,-283.32,50.53,287.790728307915,F,586.906887011174,-3290.76705378994,3342.69464599004,teen
38,price,215.738,215.808,LIKE,808.25,812.75,815.33,814.32,815.71,1488.67,1552.57,1586.32,1657.05,1706.53,Lola,0.0699999999999932,217.86,7.46000000000004,217.98768589074,F,106.571428571439,3112.28571428602,3114.10979843945,teen
39,face,216.773,216.839,THEY,527.43,536.3,562.86,579.66,474.08,2167.91,2172.08,2151.62,2248.95,2273.56,Lola,0.0660000000000025,105.65,-53.35,118.356009564365,F,-808.333333333303,1600.75757575752,1793.27287218728,teen
40,face,217.526,217.615,THEY'VE,542.13,558.59,569.81,554.43,563.36,2111.01,2120.4,2126.71,2103.63,2081.44,Lola,0.0889999999999986,-29.5700000000002,21.23,36.4018928079298,F,238.5393258427,-332.247191011243,409.010031549779,teen
41,price,218.015,218.158,LIKE,758.24,788.61,833.09,832.44,750.57,1666.63,1671.5,1690.7,1755.3,1823.1,Lola,0.143000000000001,156.47,-7.66999999999996,156.657875001546,F,-53.636363636363,1094.1958041958,1095.50961539542,teen
42,face,219.296,219.354,THEY'VE,540.76,588.88,580.59,568.23,575.07,2059.75,2169.3,2234.64,2245.24,2069.46,Lola,0.0580000000000211,9.71000000000004,34.3100000000001,35.6575405769944,F,591.551724137718,167.413793103388,614.785182361749,teen
43,price,220.291,220.397,HIGH,789.96,776.01,764.36,736.69,717.12,1286.57,1392.78,1451.31,1530.8,1553.45,Lola,0.105999999999995,266.88,-72.84,276.64164545491,F,-687.169811320787,2517.73584905672,2609.82684391437,teen
44,price,221.318,221.421,NICE,874.17,931.73,967.27,977.78,913.67,1605.52,1583.8,1580.5,1604.57,1683.32,Lola,0.10299999999998,77.8,39.5,87.2530228702708,F,383.495145631142,755.339805825389,847.116726895998,teen
45,price,225.842,225.908,WHITE,740.42,764.25,768.33,755.14,751.07,1180.79,1275.14,1349.55,1474.79,1561.94,Lola,0.0659999999999741,381.15,10.6500000000001,381.29876081624,F,161.363636363701,5775.00000000227,5777.25395176348,teen
46,face,227.902,228.002,AWAY,593.68,611.48,607.58,583.61,537.45,1678.43,1892.58,2120.19,2305.4,2448.52,Lola,0.100000000000023,770.09,-56.2299999999999,772.140156318786,F,-562.29999999987,7700.89999999823,7721.40156318608,teen
47,face,228.83,228.881,TAKE,562.94,526.63,588.67,532.71,476.23,2252.4,2305.42,2368.93,2424.69,2526.52,Lola,0.0509999999999877,274.12,-86.71,287.507214692084,F,-1700.19607843178,5374.90196078561,5637.39636651281,teen
48,face,229.305,229.366,AWAY,659.4,662.7,661.05,619.19,589.94,1822.64,1970.57,2074.7,2206.04,2296.39,Lola,0.061000000000007,473.75,-69.4599999999999,478.814947657234,F,-1138.68852459003,7766.39344262206,7849.42537142916,teen
49,trap,232.211,232.27,THAT,751.42,778.76,828.08,840.6,808.45,1673.3,1678.27,1654.7,1709.94,1723.42,Lola,0.0589999999999975,50.1200000000001,57.0300000000001,75.9238783255968,F,966.610169491568,849.491525423766,1286.84539534915,teen
